#,theta1,phi1,theta2,phi2
,1.35456,-1.04627,1.10101,0.130923
,0.85321,1.35276,0.523051,2.14541
,0.850779,0.18533,0.321629,0.0587549
,2.7474,-2.76698,1.49257,2.50549
,0.308902,-1.14278,0.63997,1.78674
,0.257482,1.23987,1.29561,-2.73789
,0.404347,-0.192413,1.04239,-1.04638
,0.666435,-0.872113,0.786091,-2.64143
,1.87613,-0.462683,1.1085,-1.80952
,0.474126,0.974918,1.06441,1.25031
,0.469632,-1.89506,0.742497,-2.3553
,0.350894,0.432981,0.750835,0.134109
,0.755954,0.806086,1.64826,2.3838
,0.235501,-0.105759,1.87581,-1.31169
,0.641155,-2.60335,1.11952,-2.90825
,2.60291,1.33376,1.30177,-2.21978
,0.504998,1.39702,1.05471,0.56156
,0.492179,-2.68749,0.892174,-0.203044
,1.49368,-0.351778,2.57368,-2.45869
,2.03308,-2.54286,0.9708,1.53771
,1.45117,1.34284,1.0393,0.483973
,1.7434,-0.432382,1.22957,-2.56313
,0.49057,-0.599817,2.18808,0.0480967
,0.705759,-0.166928,1.18899,-1.07025
,1.66301,1.95147,1.62192,2.59789
,1.77818,2.52338,0.183902,1.38987
,1.96356,-0.722172,1.14302,1.84901
,1.93142,-0.833548,0.193042,3.02513
,1.92533,-2.7278,0.296233,1.08377
,1.54417,1.24034,2.27785,0.16933
,0.54231,2.48093,1.24668,0.470635
,0.166454,2.90847,0.847857,-0.673976
,0.616263,2.41369,0.558084,-1.16345
,0.268973,0.164526,0.876736,-0.154049
,1.23349,-2.25811,0.74186,-2.00847
,0.460452,3.12829,2.36973,1.28119
,1.55855,2.05008,0.60099,-3.1372
,2.70785,0.074947,0.76534,-1.58242
,0.802693,-2.98076,0.886365,2.14855
,0.270034,2.98715,1.78493,2.87476
,0.804398,1.70975,0.25096,-1.0494
,0.754833,1.64194,0.555692,-3.09552
,0.528849,-3.12951,1.45382,-1.94559
,2.39065,-3.11474,0.869377,1.42462
,2.15098,-0.245742,0.505529,-0.363472
,1.86104,1.48463,2.39339,0.218232
,1.12824,-1.16951,0.891494,1.9939
,0.68553,1.11363,0.734332,0.723416
,0.683283,1.76644,1.92943,-1.74393
,2.01617,-1.22925,2.59635,-0.0233979
,2.01777,3.13781,0.604608,-1.46829
,0.848348,1.38737,1.3048,-0.453287
,1.09469,-1.98756,1.78585,1.48385
,0.629066,-2.64871,2.64917,-1.34524
,0.17029,-2.32934,1.04093,2.0605
,1.57071,1.06379,0.779328,2.43358
,1.66646,-2.78135,0.611494,-1.04334
,0.960272,-2.3732,1.69578,3.10791
,0.952918,1.66608,0.755645,1.8786
,0.222634,-2.92677,0.561284,-1.90744
,2.73958,-2.69828,1.65071,1.64097
,0.885013,0.396208,0.735149,-0.957106
,1.81341,-1.2552,0.470398,0.519848
,1.22094,0.561838,0.485553,-1.03163
,2.31318,1.5025,0.229948,2.12741
,0.320485,-1.6514,2.11783,3.03689
,0.396593,-2.47259,0.830496,-1.4293
,0.134166,-0.324081,2.13741,-2.16818
,1.35312,0.771308,1.99293,0.871594
,0.743936,1.60512,0.398493,-0.667236
,2.71115,1.62875,0.666287,-3.09194
,0.405156,-1.05555,1.92012,-1.26171
,0.210875,-0.441157,2.80182,1.34081
,2.03083,-1.22978,1.4383,-0.798821
,1.73587,-1.51143,0.751113,-0.0613508
,0.97101,0.743401,2.16733,-2.85667
