X,Y
0.0000,8863.015
0.6061,35766.180
1.2121,36812.281
1.8182,23581.133
2.4242,18232.098
3.0303,15269.733
3.6364,13122.029
4.2424,11640.008
4.8485,10116.195
5.4545,9444.329
6.0606,8205.806
6.6667,7124.250
7.2727,7197.674
7.8788,6857.387
8.4849,6414.883
9.0909,5811.033
9.6970,4663.240
10.3030,3943.784
10.9091,3450.308
11.5152,3736.789
12.1212,4260.324
12.7273,4063.101
13.3333,4593.932
13.9394,4734.868
14.5455,2841.120
15.1515,2168.688
15.7576,2932.938
16.3636,2278.387
16.9697,2343.311
17.5758,3156.164
18.1818,2737.984
18.7879,2564.505
19.3940,2985.449
20.0000,2664.246
20.6061,2167.821
21.2121,1882.084
21.8182,2032.759
22.4243,2152.834
23.0303,2685.716
23.6364,3019.278
24.2424,2124.951
24.8485,2186.036
25.4546,2409.569
26.0606,1689.112
26.6667,1342.874
27.2727,1896.188
27.8788,1429.785
28.4849,2040.314
29.0909,3509.548
29.6970,2750.898
30.3030,1535.114
30.9091,2330.135
31.5152,2517.479
32.1212,1218.148
32.7273,1558.210
33.3334,2260.938
33.9394,1942.379
34.5455,2186.378
35.1515,3307.777
35.7576,2818.611
36.3637,2050.935
36.9697,2408.437
37.5758,2442.468
38.1818,2431.940
38.7879,2938.910
39.3940,2920.411
40.0000,3052.359
40.6061,3075.285
41.2121,3300.433
41.8182,3911.744
42.4243,3370.431
43.0303,3256.567
43.6364,4177.851
44.2425,3450.175
44.8485,3434.646
45.4546,4735.963
46.0606,5038.269
46.6667,4717.648
47.2728,4675.443
47.8788,4808.866
48.4849,5925.560
49.0909,6268.227
49.6970,6596.967
50.3031,7187.041
50.9091,6776.421
51.5152,7113.788
52.1212,8060.738
52.7273,8224.469
53.3334,9436.446
53.9394,11302.018
54.5455,12636.415
55.1516,14667.217
55.7576,15768.574
56.3637,18860.926
56.9697,23100.426
57.5758,28968.156
58.1819,45426.051
58.7879,53608.746
59.3940,33971.871
60.0000,7675.338
