X,Y
0.0000,-2.445
0.6061,3555.987
1.2121,3904.376
1.8182,2295.345
2.4242,1646.295
3.0303,1506.302
3.6364,1251.923
4.2424,1020.240
4.8485,1001.629
5.4545,993.918
6.0606,819.285
6.6667,561.223
7.2727,550.273
7.8788,630.044
8.4849,419.304
9.0909,372.355
9.6970,428.326
10.3030,114.313
10.9091,9.181
11.5152,331.368
12.1212,249.281
12.7273,154.849
13.3333,573.757
13.9394,686.372
14.5455,303.896
15.1515,217.156
15.7576,394.277
16.3636,188.155
16.9697,44.818
17.5758,288.288
18.1818,243.642
18.7879,124.040
19.3940,317.344
20.0000,164.297
20.6061,141.752
21.2121,435.490
21.8182,287.650
22.4243,185.450
23.0303,250.339
23.6364,885.151
24.2424,4267.251
24.8485,9129.976
25.4546,11197.489
26.0606,10581.549
26.6667,7487.953
27.2727,2765.202
27.8788,170.034
28.4849,321.124
29.0909,300.390
29.6970,290.865
30.3030,402.792
30.9091,73.834
31.5152,1331.516
32.1212,5991.293
32.7273,11894.219
33.3334,15019.942
33.9394,15232.297
34.5455,14907.652
35.1515,12017.632
35.7576,5547.904
36.3637,987.374
36.9697,334.745
37.5758,165.439
38.1818,7.957
38.7879,448.482
39.3940,463.490
40.0000,218.302
40.6061,288.654
41.2121,552.209
41.8182,636.690
42.4243,339.108
43.0303,273.991
43.6364,424.902
44.2425,317.690
44.8485,460.686
45.4546,539.631
46.0606,423.758
46.6667,487.929
47.2728,473.423
47.8788,409.827
48.4849,545.080
49.0909,663.986
49.6970,806.748
50.3031,788.659
50.9091,653.996
51.5152,718.804
52.1212,665.463
52.7273,585.461
53.3334,872.951
53.9394,1212.005
54.5455,1242.338
55.1516,1411.967
55.7576,1581.322
56.3637,2037.303
56.9697,2594.093
57.5758,3209.350
58.1819,4977.069
58.7879,5965.766
59.3940,3548.202
60.0000,92.525
