X,Y
0.0000,4141.672
0.6061,5226.137
1.2121,4463.275
1.8182,2633.789
2.4242,2112.948
3.0303,1896.635
3.6364,1578.411
4.2424,1663.363
4.8485,1723.983
5.4545,1444.165
6.0606,1458.816
6.6667,1648.326
7.2727,1654.943
7.8788,1875.594
8.4849,2038.657
9.0909,1755.370
9.6970,1563.051
10.3030,1563.526
10.9091,1667.722
11.5152,1991.362
12.1212,2184.682
12.7273,2415.768
13.3333,2890.436
13.9394,3025.401
14.5455,2892.375
15.1515,2799.551
15.7576,2752.921
16.3636,2942.555
16.9697,3284.850
17.5758,3409.532
18.1818,3658.782
18.7879,4011.494
19.3940,3855.081
20.0000,3573.512
20.6061,4075.325
21.2121,4519.871
21.8182,4321.465
22.4243,4554.629
23.0303,5474.879
23.6364,5634.318
24.2424,5176.671
24.8485,5313.417
25.4546,5185.657
26.0606,5297.153
26.6667,5869.502
27.2727,6031.728
27.8788,5919.503
28.4849,6377.769
29.0909,6794.859
29.6970,6889.834
30.3030,6489.129
30.9091,6475.020
31.5152,6968.599
32.1212,6632.159
32.7273,6667.902
33.3334,7184.991
33.9394,6727.313
34.5455,6565.402
35.1515,7511.917
35.7576,7336.096
36.3637,6907.645
36.9697,7198.680
37.5758,6849.820
38.1818,6773.610
38.7879,7183.079
39.3940,6871.680
40.0000,6764.127
40.6061,6834.729
41.2121,7046.650
41.8182,7141.354
42.4243,6262.001
43.0303,5857.631
43.6364,6423.448
44.2425,5967.081
44.8485,5662.974
45.4546,5984.438
46.0606,5690.620
46.6667,5532.966
47.2728,5637.690
47.8788,4901.458
48.4849,4965.068
49.0909,5248.108
49.6970,4757.989
50.3031,4525.050
50.9091,4319.412
51.5152,3865.506
52.1212,4045.945
52.7273,4322.045
53.3334,4036.269
53.9394,4067.112
54.5455,4395.618
55.1516,4692.809
55.7576,4608.779
56.3637,4882.392
56.9697,5715.334
57.5758,6884.084
58.1819,9883.236
58.7879,11181.478
59.3940,8674.163
60.0000,7602.565
