X,Y
0.0000,-8375.826
0.6061,-2397.865
1.2121,-1028.145
1.8182,-1345.624
2.4242,-1399.241
3.0303,-1226.484
3.6364,-1215.415
4.2424,-1109.154
4.8485,-969.707
5.4545,-982.128
6.0606,-986.799
6.6667,-988.903
7.2727,-1115.738
7.8788,-1092.158
8.4849,-1443.917
9.0909,-1632.819
9.6970,-1668.629
10.3030,-1851.841
10.9091,-1632.504
11.5152,-1116.957
12.1212,-906.343
12.7273,-526.721
13.3333,-142.979
13.9394,-198.218
14.5455,-61.169
15.1515,-66.890
15.7576,228.793
16.3636,210.510
16.9697,-244.610
17.5758,-49.035
18.1818,-29.238
18.7879,-357.463
19.3940,146.055
20.0000,-65.623
20.6061,82.022
21.2121,618.468
21.8182,-92.274
22.4243,250.398
23.0303,-265.213
23.6364,3807.823
24.2424,26965.201
24.8485,58706.594
25.4546,72977.531
26.0606,69424.555
26.6667,48863.121
27.2727,17310.223
27.8788,324.842
28.4849,1628.353
29.0909,808.854
29.6970,109.037
30.3030,1957.281
30.9091,-275.633
31.5152,7478.206
32.1212,39087.758
32.7273,77144.156
33.3334,96794.938
33.9394,99070.578
34.5455,95955.695
35.1515,75872.961
35.7576,35399.316
36.3637,5883.944
36.9697,740.222
37.5758,605.802
38.1818,-815.461
38.7879,914.195
39.3940,1636.380
40.0000,908.172
40.6061,914.416
41.2121,732.693
41.8182,916.654
42.4243,341.429
43.0303,-167.403
43.6364,391.503
44.2425,211.344
44.8485,68.137
45.4546,300.287
46.0606,261.181
46.6667,313.162
47.2728,50.416
47.8788,-50.728
48.4849,81.922
49.0909,168.205
49.6970,150.020
50.3031,114.630
50.9091,-144.662
51.5152,-436.523
52.1212,-325.868
52.7273,-258.391
53.3334,-455.785
53.9394,-336.499
54.5455,-423.343
55.1516,-343.199
55.7576,-29.956
56.3637,196.829
56.9697,674.916
57.5758,975.561
58.1819,1248.735
58.7879,1573.815
59.3940,-1919.561
60.0000,-7049.153
