X,Y
0.0000,5136.806
0.6061,4441.731
1.2121,2351.927
1.8182,1997.306
2.4242,1630.745
3.0303,1216.968
3.6364,1338.954
4.2424,1297.348
4.8485,1214.741
5.4545,1287.701
6.0606,1350.854
6.6667,1817.751
7.2727,1936.850
7.8788,1826.678
8.4849,1722.755
9.0909,1341.329
9.6970,1322.817
10.3030,1478.261
10.9091,1552.467
11.5152,2056.309
12.1212,2416.915
12.7273,2123.263
13.3333,2131.935
13.9394,2257.036
14.5455,2184.714
15.1515,2534.091
15.7576,2782.612
16.3636,2810.362
16.9697,3187.293
17.5758,3646.570
18.1818,3650.718
18.7879,3425.971
19.3940,3216.884
20.0000,3374.990
20.6061,3853.164
21.2121,4431.511
21.8182,4617.456
22.4243,4740.758
23.0303,4672.995
23.6364,4950.930
24.2424,4624.487
24.8485,4181.529
25.4546,4592.950
26.0606,5146.340
26.6667,5723.943
27.2727,6631.439
27.8788,6309.390
28.4849,5277.605
29.0909,5617.589
29.6970,5869.049
30.3030,5752.289
30.9091,6269.995
31.5152,6869.609
32.1212,7516.212
32.7273,7467.681
33.3334,6534.814
33.9394,6422.222
34.5455,6672.246
35.1515,5967.940
35.7576,6228.914
36.3637,7302.409
36.9697,7525.562
37.5758,7475.438
38.1818,7576.616
38.7879,6999.135
39.3940,6608.985
40.0000,6481.311
40.6061,6904.962
41.2121,7269.931
41.8182,7260.926
42.4243,7424.643
43.0303,7121.372
43.6364,6327.511
44.2425,6026.945
44.8485,5789.092
45.4546,5666.229
46.0606,6096.259
46.6667,6222.993
47.2728,5909.840
47.8788,5826.988
48.4849,5511.815
49.0909,5041.107
49.6970,5045.786
50.3031,5264.626
50.9091,5031.924
51.5152,4588.870
52.1212,4418.110
52.7273,4061.605
53.3334,4084.229
53.9394,4527.867
54.5455,4393.455
55.1516,4366.023
55.7576,4614.094
56.3637,4679.157
56.9697,5310.524
57.5758,5795.302
58.1819,6583.388
58.7879,10369.171
59.3940,11359.837
60.0000,8061.405
