X,Y
0.0000,-2917.629
0.6061,-123.109
1.2121,-118.957
1.8182,-7.916
2.4242,-209.154
3.0303,-174.553
3.6364,-323.669
4.2424,-574.358
4.8485,-616.212
5.4545,-589.070
6.0606,-415.764
6.6667,-336.685
7.2727,-425.937
7.8788,-381.919
8.4849,-509.415
9.0909,-622.841
9.6970,-647.882
10.3030,-798.329
10.9091,-622.407
11.5152,-867.185
12.1212,-677.502
12.7273,-382.472
13.3333,-597.508
13.9394,-307.259
14.5455,-208.161
15.1515,-359.620
15.7576,-148.272
16.3636,-151.490
16.9697,-317.756
17.5758,-21.172
18.1818,24.457
18.7879,-160.601
19.3940,-253.265
20.0000,-68.230
20.6061,-18.550
21.2121,280.567
21.8182,10653.249
22.4243,35180.840
23.0303,48115.711
23.6364,31934.449
24.2424,7894.832
24.8485,-1782.970
25.4546,-1308.635
26.0606,-667.240
26.6667,-802.247
27.2727,338.364
27.8788,80.267
28.4849,-1780.681
29.0909,-1079.440
29.6970,-534.689
30.3030,-1345.664
30.9091,-1135.078
31.5152,-875.148
32.1212,-282.457
32.7273,-1425.292
33.3334,2331.733
33.9394,33316.836
34.5455,79893.305
35.1515,107681.047
35.7576,120836.562
36.3637,129244.094
36.9697,126005.367
37.5758,113869.352
38.1818,83007.852
38.7879,33277.121
39.3940,3141.807
40.0000,464.826
40.6061,468.999
41.2121,-264.443
41.8182,671.001
42.4243,-389.021
43.0303,-234.973
43.6364,-42.443
44.2425,-631.760
44.8485,-122.847
45.4546,32.671
46.0606,-106.747
46.6667,142.022
47.2728,-223.301
47.8788,-312.173
48.4849,242.332
49.0909,-256.522
49.6970,214.550
50.3031,359.809
50.9091,67.367
51.5152,220.031
52.1212,-34.767
52.7273,-415.710
53.3334,-440.476
53.9394,-776.768
54.5455,-739.577
55.1516,-693.508
55.7576,-918.373
56.3637,-883.350
56.9697,-865.406
57.5758,-790.529
58.1819,-577.729
58.7879,-225.241
59.3940,8.915
60.0000,-1907.370
