X,Y
0.0000,-7988.169
0.6061,-1478.440
1.2121,-873.363
1.8182,-553.315
2.4242,-996.058
3.0303,-816.615
3.6364,-1294.060
4.2424,-1788.579
4.8485,-1709.352
5.4545,-1896.442
6.0606,-1492.098
6.6667,-1186.080
7.2727,-1404.338
7.8788,-1231.580
8.4849,-1554.814
9.0909,-1903.513
9.6970,-1897.160
10.3030,-2306.026
10.9091,-1968.217
11.5152,-2580.007
12.1212,-2406.820
12.7273,-1843.483
13.3333,-2146.427
13.9394,-1212.193
14.5455,-811.534
15.1515,-1201.633
15.7576,-874.029
16.3636,-1058.109
16.9697,-1415.866
17.5758,-808.137
18.1818,-752.349
18.7879,-937.922
19.3940,-947.952
20.0000,-716.669
20.6061,-888.104
21.2121,-465.020
21.8182,23881.443
22.4243,82238.992
23.0303,113244.523
23.6364,74418.008
24.2424,17466.449
24.8485,-4627.426
25.4546,-3815.167
26.0606,-3223.472
26.6667,-3603.463
27.2727,-759.867
27.8788,-944.746
28.4849,-5109.292
29.0909,-3797.542
29.6970,-2527.281
30.3030,-4677.667
30.9091,-4118.154
31.5152,-2567.037
32.1212,-1610.038
32.7273,-5871.784
33.3334,3682.499
33.9394,78249.773
34.5455,188631.328
35.1515,255074.578
35.7576,285651.125
36.3637,304525.844
36.9697,298257.562
37.5758,269827.531
38.1818,195100.969
38.7879,77625.195
39.3940,6906.945
40.0000,-456.304
40.6061,-675.640
41.2121,-2162.204
41.8182,-272.179
42.4243,-2573.581
43.0303,-2119.204
43.6364,-1728.213
44.2425,-2916.052
44.8485,-1811.714
45.4546,-1494.053
46.0606,-1690.984
46.6667,-1190.416
47.2728,-1850.903
47.8788,-1994.682
48.4849,-1054.425
49.0909,-2161.772
49.6970,-808.743
50.3031,-526.018
50.9091,-1031.271
51.5152,-590.195
52.1212,-1149.028
52.7273,-1814.877
53.3334,-1922.970
53.9394,-3020.117
54.5455,-2954.635
55.1516,-2855.641
55.7576,-3471.273
56.3637,-3345.991
56.9697,-3360.054
57.5758,-3314.407
58.1819,-3097.887
58.7879,-3122.812
59.3940,-2763.988
60.0000,-6171.061
